Study Id,Type of Study,Category,Region,Product,Indication,Institution / Vendor,Activity Title,Priority,Phase,Status,Rationale,Strategic Imperative,CSF Objective,Audience,Target Deliverable,Drug Supply,Patient,Enrolled,Award Year,Study Start,Study End,Readout,Program Owner,Total Budget,Allocated Budget,Allocation %,Program Lead,PO #,2025 Budget CS,2025 Budget,2026 Budget CS,2026 Cost,2027 Budget CS,2027 Cost,Recommendation,Comments,Ranking
S11,Clinical Trial,Oncology,APAC,ViroZ,Myeloma,HealthOrg,Recruitment,High,Phase 1,On Track,NA,Growth,Faster enrollment,Doctors,Recruitment Plan,Yes,160,100,2025,7/5/2025,6/20/2026,4/25/2026,Anjali,2300000,1700000,69%,Meena,PO133,530000,630000,730000,830000,930000,1030000,Continue,Good,1
S12,Observational Study,Virology,EU,ViroZ,COVID,BioLabs,Analysis,Medium,Phase 2,On Track,NA,Compliance,Reporting accuracy,Govt,Analysis Report,Yes,280,220,2024,1/5/2024,12/20/2024,3/25/2025,Kumar,1700000,1200000,56%,Divya,PO134,420000,520000,620000,720000,820000,920000,Continue,Smooth,2
S13,Real World Study,Oncology,US,ViroA,Lymphoma,ABC Labs,Execution,High,Phase 3,Completed,Delay in trial,Growth,Speed,Doctors,Execution Plan,Yes,190,120,2025,1/5/2025,9/20/2025,8/25/2025,John,2700000,2100000,74%,Suresh,PO135,640000,740000,840000,940000,1040000,1140000,Reassess,Delayed,3
S14,Interventional Study,Immunology,APAC,ViroA,Arthritis,MediCorp,Reporting,Low,Phase 1,On Track,NA,Innovation,Patient impact,Patients,Final Report,No,210,180,2024,4/5/2024,3/20/2025,1/25/2025,Ravi,1600000,1200000,62%,Kavya,PO136,390000,490000,590000,690000,790000,890000,Continue,Stable,1
S15,Retrospective Study,Virology,US,ViroA,Flu,BioLabs,Monitoring,Medium,Phase 2,At Risk,Resource issue,Compliance,Monitoring quality,Doctors,Monitoring Report,Yes,230,150,2025,4/5/2025,3/20/2026,4/25/2026,Kumar,2000000,1500000,67%,Divya,PO137,510000,610000,710000,810000,910000,1010000,Monitor,Resource issue,2
S16,Clinical Trial,Oncology,EU,CAR-N Iota,Leukemia,XYZ CRO,Testing,High,Phase 3,On Track,NA,Growth,Outcome improvement,Doctors,Test Report,Yes,180,150,2025,1/5/2025,12/20/2025,2/25/2026,Priya,2800000,2200000,78%,Meena,PO138,660000,760000,860000,960000,1060000,1160000,Continue,Strong,1
S17,Observational Study,Immunology,US,ViroB,Psoriasis,MediCorp,Validation,Medium,Phase 2,On Track,NA,Innovation,Accuracy,Researchers,Validation Report,No,150,100,2025,7/5/2025,6/20/2026,5/25/2026,Ravi,2100000,1600000,64%,Kavya,PO139,520000,620000,720000,820000,920000,1020000,Continue,Good,1
S18,Real World Study,Virology,APAC,ViroB,COVID,BioLabs,Execution,Low,Phase 1,Completed,NA,Compliance,Speed,Govt,Execution Plan,Yes,260,200,2024,10/5/2024,6/20/2025,2/25/2025,Kumar,1500000,1100000,59%,Divya,PO140,380000,480000,580000,680000,780000,880000,Continue,Smooth,2
S19,Interventional Study,Oncology,US,ViroB,Myeloma,HealthOrg,Recruitment,High,Phase 2,At Risk,Low enrollment,Growth,Speed,Doctors,Recruitment Plan,Yes,170,80,2025,4/5/2025,12/20/2025,3/25/2026,Anjali,2400000,1800000,66%,Suresh,PO141,590000,690000,790000,890000,990000,1090000,Monitor,Low enrollment,3
S20,Retrospective Study,Immunology,EU,ViroB,Asthma,MediCorp,Analysis,Medium,Phase 3,On Track,NA,Innovation,Outcome,Patients,Final Report,No,220,170,2024,1/5/2024,12/20/2024,1/25/2025,Ravi,2200000,1700000,71%,Kavya,PO142,540000,640000,740000,840000,940000,1040000,Continue,Stable,1
